seed,epoch,val_MAPE
0,1,67.71552125921586
0,2,55.43951329081666
0,3,41.278682935591334
0,4,37.63121549597487
0,5,29.82555696330898
0,6,28.502469053623958
0,7,29.84333832316472
0,8,32.19148800226531
0,9,35.39471253466612
0,10,37.138444477840935
0,11,41.610148846186085
0,12,42.59138842102514
0,13,32.635096927161015
0,14,33.71586740344176
0,15,35.11110705432843
0,16,31.0857877190437
0,17,34.84276564679442
0,18,35.18046629920833
0,19,32.44162422230944
0,20,34.787320345261385
0,21,33.81828645171262
0,22,35.45060348137705
0,23,38.95340941786431
0,24,34.90785650448559
0,25,37.30049590143084
0,26,34.893217385269566
0,27,29.70283000942026
0,28,35.072642066455
0,29,28.131447956384026
0,30,32.973104461611655
0,31,32.59340334458912
0,32,35.039809965035964
0,33,34.19170248597064
0,34,35.143021295625445
0,35,37.80133401875495
0,36,37.24206055991704
0,37,40.13362400132694
0,38,36.051396715027245
0,39,38.341458286598055
0,40,35.10383991822161
0,41,36.91233878094929
0,42,31.326849148475716
0,43,33.79204091417522
0,44,30.509577124057603
0,45,39.00357888755305
0,46,31.746869984152816
0,47,32.33829556689756
0,48,34.24425613360718
0,49,36.227759254250714
0,50,31.51042602766023
0,51,36.29315054711083
0,52,33.1602085644631
0,53,35.802277681997346
0,54,36.139614864266214
0,55,33.27573528368121
0,56,36.03503317274854
0,57,36.88303487135019
0,58,36.92859342762668
0,59,36.08275971406225
0,60,33.738047111942834
0,61,37.243381264694484
0,62,32.31389140411248
0,63,36.950799381483876
0,64,35.40020452557532
0,65,37.69101573297651
0,66,36.02603141710626
0,67,39.59580726743363
0,68,35.66582877162389
0,69,36.86143042098874
0,70,35.12169448832351
0,71,28.81079185133637
0,72,41.987509799665226
0,73,35.9748424824947
0,74,42.07477626106923
0,75,33.469302845783375
0,76,38.48750196673026
0,77,36.365501774968514
0,78,33.108723760977625
0,79,35.11936954445377
0,80,35.33904800895994
0,81,37.60232666652026
0,82,36.59564222026224
0,83,34.4092523069476
0,84,41.50270140772133
0,85,32.38741359992411
0,86,37.413691342923414
0,87,34.9534546413744
0,88,40.126200064398724
0,89,34.603607468549015
0,90,37.46645920374465
0,91,40.08972906914781
0,92,33.234796085694825
0,93,33.52610643849139
0,94,36.43706633272826
1,1,62.89694461919327
1,2,44.83979879584442
1,3,47.623108236634934
1,4,49.77357684517204
1,5,40.765509983661474
1,6,54.444346645738996
1,7,41.77670936217901
1,8,46.90357857631541
1,9,37.37823840297983
1,10,41.91659139521944
1,11,48.52339076428762
1,12,27.530666755738014
1,13,28.62721886231799
1,14,33.13202712157158
1,15,33.39168770859462
1,16,40.61423755654444
1,17,38.192574272248294
1,18,32.24047104323183
1,19,36.565161487580184
1,20,42.6935901930292
1,21,35.91691851062969
1,22,37.51006296454714
1,23,34.38160917159183
1,24,26.792248228631525
1,25,24.981143942149693
1,26,28.367478782018186
1,27,37.54939734649362
1,28,33.566995428479665
1,29,29.02908280872663
1,30,26.313649459346976
1,31,38.55414509527335
1,32,33.54351782876212
1,33,35.53150852182932
1,34,24.126403086158703
1,35,31.403650739740286
1,36,34.2940975064483
1,37,38.888097285194775
1,38,41.194078078569255
1,39,43.01019996095738
1,40,40.488084172413316
1,41,30.43136482903792
1,42,30.056104063342342
1,43,26.442381248916323
1,44,31.017825158148888
1,45,31.11124689695079
1,46,36.348618331078974
1,47,32.622476357930466
1,48,31.39602321169608
1,49,26.441062643169865
1,50,29.765724331306608
1,51,31.57916467862791
1,52,32.67403395447682
1,53,29.19511828063045
1,54,34.038874106304895
1,55,28.746840245024934
1,56,30.295515339100792
1,57,33.176836894620216
1,58,30.194330987438462
1,59,30.16460588887093
1,60,30.219052715491777
1,61,30.26588815177837
1,62,28.810178918223663
1,63,28.264543807655894
1,64,31.252407241380503
1,65,33.00852629465347
1,66,26.83100807799225
1,67,30.144181815127673
1,68,32.174673857370124
1,69,28.718407610441442
1,70,30.09333507130244
1,71,28.072879994176137
1,72,30.70097956934828
1,73,28.447397219604976
1,74,32.22355993968654
1,75,28.440101956437925
1,76,31.838946425869363
1,77,23.435754710284172
1,78,34.13500795997872
1,79,29.870776334375805
1,80,29.180517507938774
1,81,30.771262707996367
1,82,29.519291547058007
1,83,33.7978806563182
1,84,28.73707201748448
1,85,28.436597978388157
1,86,30.067574763423305
1,87,29.21237105468517
1,88,27.816421469203917
1,89,35.29037125549531
1,90,26.32301493611569
1,91,31.990132089141532
1,92,30.326488864418504
1,93,29.85857437918903
1,94,29.567416988625023
1,95,34.13270028271606
1,96,29.736247532552884
1,97,28.938164774738063
1,98,29.150538199059913
1,99,29.21461799231381
1,100,26.170893270253465
1,101,32.03021375309494
1,102,26.785774622668878
1,103,34.281295559831506
1,104,26.208502056639915
1,105,27.72198102564009
1,106,31.42324386677997
1,107,29.113150686900468
1,108,31.436266509277278
1,109,27.24128500096273
1,110,32.59092418787081
1,111,27.507943799465075
1,112,31.089674756039624
1,113,28.564713149090693
1,114,29.616288617429976
1,115,31.02545590858563
1,116,29.485555605210934
1,117,28.6926567277461
1,118,27.546771315465268
1,119,31.795738414407598
1,120,31.031384566691212
1,121,29.749428355511437
1,122,29.02248456102544
1,123,26.9280702222927
1,124,30.78865762970522
1,125,28.822748650867553
1,126,25.823096855286177
1,127,28.985784119750797
1,128,29.236333094861855
1,129,30.19963311443047
1,130,30.3183910324455
1,131,34.41999350219354
1,132,28.4861120906441
1,133,28.883009254528737
1,134,28.593431189068603
1,135,26.0189331311956
1,136,29.783553132991585
1,137,29.26355611898587
1,138,30.630950641255545
1,139,32.489782501238494
1,140,28.469110786543943
1,141,28.286564914593043
1,142,28.05533017615658
2,1,62.03073872035407
2,2,46.06987980080673
2,3,54.47882152226439
2,4,41.671606171758505
2,5,48.30176125160472
2,6,55.02133347325249
2,7,56.48051853543298
2,8,43.763510384524004
2,9,34.22470922151453
2,10,46.52091160103725
2,11,31.11072121454673
2,12,30.592837796776696
2,13,45.533398671954714
2,14,52.92905547337051
2,15,48.33450593592693
2,16,28.38337991615244
2,17,39.15742603918613
2,18,40.59478322293369
2,19,43.711659928453656
2,20,35.49159600043607
2,21,30.906028646315665
2,22,34.35752378599031
2,23,29.842036454257993
2,24,37.92773196478736
2,25,33.429243782606285
2,26,35.472668879942695
2,27,37.338017600505694
2,28,38.36341508129265
2,29,34.802117446956444
2,30,31.146359822489227
2,31,28.01385859337879
2,32,28.89459311520282
2,33,45.516069097500214
2,34,42.8922097109052
2,35,32.57769830038693
2,36,25.983383958047355
2,37,33.65511998051854
2,38,35.59183887287731
2,39,35.26819297827166
2,40,31.450127681161177
2,41,25.724211275728194
2,42,30.121394348833476
2,43,33.75457225720968
2,44,32.164116535503965
2,45,31.779432942722202
2,46,31.150415942823418
2,47,25.53316975875542
2,48,38.07770054229579
2,49,36.878831030519805
2,50,30.22165885678015
2,51,26.11993869860964
2,52,25.816997328551434
2,53,29.757070734517775
2,54,30.888968397147288
2,55,29.050024802912578
2,56,28.85656256580575
2,57,28.0904160328441
2,58,31.47696584065155
2,59,23.114133988310435
2,60,33.849514545640545
2,61,26.483492081637234
2,62,28.621062479132725
2,63,26.70844874427655
2,64,22.37050536043168
2,65,34.84454982673657
2,66,35.60442893215425
2,67,36.33946938317374
2,68,29.00400396576903
2,69,30.177900915119455
2,70,33.29808898706151
2,71,29.30629895919531
2,72,31.197705971378138
2,73,27.89547065902597
2,74,32.32806439336609
2,75,29.230315803996387
2,76,32.97269406832095
2,77,28.71489893216537
2,78,30.97419899972912
2,79,30.134074859799387
2,80,29.34359358058436
2,81,29.168506787644837
2,82,34.004027668205225
2,83,25.344803608536857
2,84,33.38525798792785
2,85,31.431726337697043
2,86,27.328834741397817
2,87,29.195579268267224
2,88,28.752061363500363
2,89,28.34170683284733
2,90,26.478004987884248
2,91,30.486352212147267
2,92,26.912831899438277
2,93,22.54138392218028
2,94,31.85935881767708
2,95,26.365230856860595
2,96,28.40682690630655
2,97,30.06720819063161
2,98,34.018278084548996
2,99,31.966134439987098
2,100,28.672437141621987
2,101,24.23858974834078
2,102,24.2120564358554
2,103,32.71032031172702
2,104,29.40180256807047
2,105,33.817807010851794
2,106,31.736867097417722
2,107,25.659519573247785
2,108,25.29489615482713
2,109,23.524312214833486
2,110,31.769120853343598
2,111,28.43112110679506
2,112,22.907813062001665
2,113,35.98495770412609
2,114,31.109741053513734
2,115,27.587983695881174
2,116,26.278431739391127
2,117,27.219903096074162
2,118,28.107415014851146
2,119,23.36440466369523
2,120,30.833703167812175
2,121,29.06869012866563
2,122,31.95048302018118
2,123,32.42234608900001
2,124,34.308620804301356
2,125,27.935890236641086
2,126,31.403235185362483
2,127,29.64570616546102
2,128,26.273216729788896
2,129,34.85596976524986
3,1,28.42826609808229
3,2,30.74309641821631
3,3,26.188598269472124
3,4,28.24322552450364
3,5,25.035379884251608
3,6,23.212078474973787
3,7,27.211501622385477
3,8,22.376122347828765
3,9,24.6303236577448
3,10,29.469601420460833
3,11,28.045829725735373
3,12,28.792156698167954
3,13,30.20727198926662
3,14,29.803433955315196
3,15,30.586451886470122
3,16,28.38519526822671
3,17,28.2681235158572
3,18,30.91310829468333
3,19,29.481207016913324
3,20,29.295933062207745
3,21,31.295036268638615
3,22,27.412005101769978
3,23,26.896488818883142
3,24,28.963039233697252
3,25,28.977832829066042
3,26,29.409015766400376
3,27,28.55325643640591
3,28,28.098187106473443
3,29,25.390846725947686
3,30,35.56966551945922
3,31,28.5663914977932
3,32,28.323973591589326
3,33,23.46286967117664
3,34,27.87391717155042
3,35,30.574407774721536
3,36,31.974620426625656
3,37,29.203874350411596
3,38,25.805189988522976
3,39,29.40924427977271
3,40,30.55706179042581
3,41,27.654805501518982
3,42,26.05059921703619
3,43,31.72103465674751
3,44,28.887751133064594
3,45,28.14456295567415
3,46,32.90594564171718
3,47,29.433924567778142
3,48,28.52399429245714
3,49,30.934598021463987
3,50,29.84725586276717
3,51,29.189548112247916
3,52,30.3922902537722
3,53,31.652385900960557
3,54,29.731519677081526
3,55,31.967512477985327
3,56,28.680537834993796
3,57,30.38093712457208
3,58,27.728619907056935
3,59,31.207333599513614
3,60,28.43369431005214
3,61,28.26818786301325
3,62,31.605582910085428
3,63,33.64845800009891
3,64,28.21252261978363
3,65,32.00491078894711
3,66,29.76194285746964
3,67,33.848742266964706
3,68,31.314638226683027
3,69,33.0216188937336
3,70,33.23868153483443
3,71,30.492955126843924
3,72,33.19219379640758
3,73,31.05668620466418
4,1,82.3692038583089
4,2,60.00256048707844
4,3,45.38508315580454
4,4,40.51638362101209
4,5,39.98500920308644
4,6,37.63838063678008
4,7,39.44079388709409
4,8,35.63556186577686
4,9,36.40874204212213
4,10,36.37960817050544
4,11,37.17690505333865
4,12,39.14760563309288
4,13,45.44706785036786
4,14,37.27015261254072
4,15,36.7903880709649
4,16,38.386017610311285
4,17,37.594420383713825
4,18,35.80254094732802
4,19,37.5658365402103
4,20,33.478692730840244
4,21,33.659891250707005
4,22,30.81124814860753
4,23,32.650903295572
4,24,33.46805073814115
4,25,34.26523728417617
4,26,32.71579685681904
4,27,34.79920126992575
4,28,34.125025884320685
4,29,36.58624809289622
4,30,34.99344749302137
4,31,36.52656432520836
4,32,36.00932414438555
4,33,35.917578990594315
4,34,33.09738592770147
4,35,36.68587365569884
4,36,33.72930181971731
4,37,32.356238532862356
4,38,32.242218572442894
4,39,32.60814629032872
4,40,34.386057785802315
4,41,34.88437409258377
4,42,32.66965609229991
4,43,34.25679389858792
4,44,33.17010730575152
4,45,34.636617292373415
4,46,35.11598633834852
4,47,35.70694170510868
4,48,35.64536459016885
4,49,34.60964242589401
4,50,35.9450747093616
4,51,36.376860084563354
4,52,35.74473911290978
4,53,36.00084028552304
4,54,35.104139248541195
4,55,37.82873232318968
4,56,35.50340104699858
4,57,36.10289899948845
4,58,37.29771185797796
4,59,36.45595547995713
4,60,33.80537502367374
4,61,35.263805892530115
4,62,33.77694821282062
4,63,32.3850350012155
4,64,35.56007042690019
4,65,33.43670224168191
4,66,34.54550719252254
4,67,35.22243792512005
4,68,35.41995927752887
4,69,36.654912315950725
4,70,33.56492789912129
4,71,34.695244892275376
4,72,35.213210425729045
4,73,38.66087253731506
4,74,37.21706030559632
4,75,36.210697098167095
4,76,35.17648143589752
4,77,33.737135490490544
4,78,35.50079158876724
4,79,33.4554886266876
4,80,33.25638360450937
4,81,34.50524417934352
4,82,33.63789378990089
4,83,33.886287102042196
4,84,34.61398731361622
4,85,36.44783018834565
4,86,35.699593169073765
4,87,35.108009460538106
5,1,53.54603709369822
5,2,49.787070813277154
5,3,42.61649056245885
5,4,40.85038024920913
5,5,41.51470026833032
5,6,42.56099485117632
5,7,41.95423795410336
5,8,41.833996659655995
5,9,41.403090884763486
5,10,38.32708505850631
5,11,37.70179991744021
5,12,40.697838224275976
5,13,42.18518322801891
5,14,38.10005418106013
5,15,40.23423602896131
5,16,38.26192115578979
5,17,38.880566346043175
5,18,37.00949078996445
5,19,37.574354354154046
5,20,37.085356413940296
5,21,37.8199806728556
5,22,36.5654818405517
5,23,36.29977924449773
5,24,37.3722827035614
5,25,40.87189208069367
5,26,38.60458947234691
5,27,36.70686065014862
5,28,37.55932745535649
5,29,38.480611628053396
5,30,37.44643408446652
5,31,37.79420171351498
5,32,36.710631792124325
5,33,38.108917925108734
5,34,37.33944403421086
5,35,39.40944826183117
5,36,39.6980084325147
5,37,39.295240319462124
5,38,37.76555198647771
5,39,37.5532196932181
5,40,38.44430366600799
5,41,38.465347169757976
5,42,36.92969739620648
5,43,36.18102697834475
5,44,36.379507598702496
5,45,37.452094676597206
5,46,37.12119095100657
5,47,37.30449007927935
5,48,37.788075428949
5,49,38.375646340613216
5,50,35.91877770734504
5,51,36.384720355038766
5,52,35.55270577890636
5,53,34.65789474317916
5,54,36.12284684304194
5,55,34.434839211859874
5,56,41.65513170873339
5,57,38.325549433273196
5,58,36.08809141369643
5,59,35.36630941848842
5,60,37.69033949641452
5,61,35.81718998864451
5,62,37.88399784345485
5,63,35.21120996162474
5,64,37.5817057093135
5,65,37.983396248105564
5,66,37.59084972274038
5,67,36.30358471800975
5,68,37.89708111630393
5,69,38.646626960841985
5,70,36.56919939403432
5,71,36.859309614756015
5,72,38.43527459547072
5,73,35.438548214789364
5,74,36.338531101125184
5,75,37.91026114245001
5,76,36.35999549881351
5,77,36.296123506891426
5,78,38.262763288625415
5,79,36.81273197329064
5,80,36.06980540181536
5,81,39.495398042341186
5,82,40.45118883209839
5,83,37.35006154579012
5,84,38.367629126138844
5,85,36.27232242272864
5,86,38.94591906368656
5,87,37.970452222216785
5,88,37.40010252401609
5,89,39.52475600051759
5,90,39.980429503075
5,91,34.15146327782087
5,92,38.24174573462913
5,93,38.0932426094471
5,94,38.1026035794399
5,95,37.49221557753181
5,96,35.9734127278158
5,97,37.94611136019018
5,98,38.4784596403655
5,99,37.927889955711336
5,100,37.49885208434695
5,101,37.33822872479031
5,102,36.88293093649427
5,103,38.55410006382291
5,104,39.35157286659433
5,105,36.24599117789685
5,106,37.311522338545686
5,107,34.15524511392591
5,108,36.62742043465237
5,109,36.7356397944203
5,110,37.5066601005695
5,111,36.700331199829
5,112,34.9030272603579
5,113,35.59051143002367
5,114,36.12697379140313
5,115,36.364541200717824
5,116,34.916148540060405
5,117,37.20102565811512
5,118,36.64907010413017
5,119,37.31481761529965
5,120,36.43091483808058
5,121,35.61254666799653
5,122,35.59933060428872
5,123,37.694779548812804
5,124,34.735903785226974
5,125,37.18385946886829
5,126,35.61919851424048
5,127,36.26988391069501
5,128,36.445762738640354
5,129,35.85338832150493
5,130,38.42883661191029
5,131,36.18171114283249
5,132,34.9214441382589
5,133,35.359805907506356
5,134,36.88373992338208
5,135,36.43146293401996
5,136,35.60129258389394
5,137,39.93432760646561
5,138,37.68570175574403
5,139,35.32613732127532
5,140,35.91984447011204
5,141,35.459192519635344
5,142,37.13689474912012
5,143,35.36833287557181
5,144,34.65093902299098
5,145,37.42072739050914
5,146,35.74578138649426
5,147,37.77519650360704
5,148,35.799448756184624
5,149,33.16383020272817
5,150,38.28145581949832
5,151,35.66169129223523
5,152,37.2633805533033
5,153,35.194660207030815
5,154,36.63408920556692
5,155,35.48552452170885
5,156,38.07732672581248
5,157,34.90791476773485
5,158,38.593601025051186
5,159,35.58508084549714
5,160,36.36527912393365
5,161,35.69636204501834
5,162,35.938591947310904
5,163,37.08923556068695
5,164,36.902693295338906
5,165,35.47005594696802
5,166,35.35793632739113
5,167,36.705927807019876
5,168,36.11172128706231
5,169,35.39912902494898
5,170,36.283345739158236
5,171,35.68469883633117
5,172,34.66445253946417
5,173,36.758730717349074
5,174,36.0124222565459
5,175,34.2611207557131
5,176,36.75408329525725
5,177,35.588409108182454
5,178,35.26907065538592
5,179,36.17922413615238
5,180,34.88617640955163
5,181,36.6457753215993
5,182,35.79773314373642
5,183,34.1104640882065
5,184,35.96971474141613
5,185,36.03283108374108
5,186,38.56785590839626
5,187,35.897096823173904
5,188,34.99242427111553
5,189,36.42297326367181
5,190,35.235597443369535
5,191,35.325568393726904
5,192,34.599311163439886
5,193,33.66671487396921
5,194,33.38893513594813
5,195,32.28665711166766
5,196,35.66228204919098
5,197,35.50684188220209
5,198,35.55377163548685
5,199,33.605128444129335
5,200,36.01847678232784
5,201,33.88083882954923
5,202,33.20230946846861
5,203,34.95121477511154
5,204,36.55538172128473
5,205,34.77832868138028
5,206,33.82083415990175
5,207,35.99278370019797
5,208,33.61358439286499
5,209,34.983039918836475
5,210,36.21935098027711
5,211,34.56069268697928
5,212,38.37595872477223
5,213,33.947868730209834
5,214,34.41370873188582
5,215,34.73117044672741
5,216,33.73141074978931
5,217,33.141377624600594
5,218,35.20241583880376
5,219,35.468447800950784
5,220,34.53800699527289
5,221,32.94674694727907
5,222,37.0946886733826
5,223,33.639280540911656
5,224,35.982249248816814
5,225,36.14836343522707
5,226,33.33894374383541
5,227,33.576306265322806
5,228,34.69298181937162
5,229,34.77770850762688
5,230,33.499995203792245
5,231,33.3317956256161
5,232,32.09193544342222
5,233,33.390246778688784
5,234,31.88223507321127
5,235,32.28918968126806
5,236,33.51578643951666
5,237,35.006260095928596
5,238,33.34077565753948
5,239,33.56901717478355
5,240,34.010426572509026
5,241,34.64549327587629
5,242,30.459983858501698
5,243,32.933906873802144
5,244,33.088356335472355
5,245,33.78983406872685
5,246,32.37639524106453
5,247,33.5673972862816
5,248,34.528799178374705
5,249,33.3120200832198
5,250,32.456899343237495
5,251,36.043581427702776
5,252,32.41893780190789
5,253,31.092187263428485
5,254,33.966996524955285
5,255,33.7147442898003
5,256,33.47848858856627
5,257,32.03695541903186
5,258,30.724309605083743
5,259,34.40247440731973
5,260,33.22935781187108
5,261,35.47403984971974
5,262,33.21166567521419
5,263,34.784889820978336
5,264,32.442714861512904
5,265,33.62578511272355
5,266,33.52279487182416
5,267,30.833559284585156
5,268,33.336221125267635
5,269,32.51010506825629
5,270,33.16620764678224
5,271,32.36404663445154
5,272,34.07236604738746
5,273,32.831809374516816
5,274,35.00880000355777
5,275,33.68346219575212
5,276,35.0421985714872
5,277,34.14416840436663
5,278,32.76243090820858
5,279,32.52432379324865
5,280,33.1048472139478
5,281,32.59233612496959
5,282,32.32862616565749
5,283,33.12141304740922
5,284,33.13006284998188
5,285,32.03463293690347
5,286,30.84729649618329
5,287,33.04624507234515
5,288,31.627107960578233
5,289,32.11176260192827
5,290,32.46828817234757
5,291,32.54137305785474
5,292,32.271271726873444
5,293,33.23550448220399
5,294,33.9544004340794
5,295,33.15674108253458
5,296,32.91822727522356
5,297,34.06059703596873
5,298,33.28731579516968
5,299,34.00955653178118
5,300,31.96635452073916
5,301,33.627585607422766
5,302,33.93430445084759
5,303,32.29283827533305
5,304,30.466006565303044
5,305,34.64666847768068
5,306,30.856649442657442
5,307,33.14343407494881
6,1,84.95276846070166
6,2,43.707846543535474
6,3,28.47884985915395
6,4,26.32491955272173
6,5,31.446751223928942
6,6,35.183138410541126
6,7,27.474865350544142
6,8,21.45657593130573
6,9,27.767536906884118
6,10,28.11638616021404
6,11,27.587515902821124
6,12,32.232443513862
6,13,24.568895184357245
6,14,19.464467404584116
6,15,22.836015978539674
6,16,19.021922343389843
6,17,17.844150227863032
6,18,19.55894318118294
6,19,25.21342451008125
6,20,25.623773831700262
6,21,23.011375319323342
6,22,23.32730756753732
6,23,24.462688313681618
6,24,24.68980406832828
6,25,28.00008323020404
6,26,27.96401410933199
6,27,28.523818695504026
6,28,22.99649772823977
6,29,22.557407810349137
6,30,20.805914234750976
6,31,19.337541538698584
6,32,25.80062995590418
6,33,20.294043766007526
6,34,24.1823606295331
6,35,31.831304567885017
6,36,18.51491603761739
6,37,26.506192832542077
6,38,29.409925371092115
6,39,16.17111770403613
6,40,20.24233685930058
6,41,21.623395870495756
6,42,25.341855847248514
6,43,20.507058057183837
6,44,17.373028987974372
6,45,16.138338294528797
6,46,20.474649443138322
6,47,21.61579213692983
6,48,23.83107057508551
6,49,21.00348366704572
6,50,22.013787934370498
6,51,20.025451938034188
6,52,20.145947932357668
6,53,21.325031613280967
6,54,20.2265824602372
6,55,19.673975247568563
6,56,20.99789679153006
6,57,23.4277436253186
6,58,22.067145750641128
6,59,17.661598202323653
6,60,21.994935070888825
6,61,17.97303089976398
6,62,19.971767679534256
6,63,23.542906294249867
6,64,22.434507404313305
6,65,22.42551926976198
6,66,23.442888744251192
6,67,19.778962816399176
6,68,20.81894620886914
6,69,24.710485205630402
6,70,19.88351038037665
6,71,26.356049434273167
6,72,24.99438625893608
6,73,23.371013424671926
6,74,25.003689893166083
6,75,22.037277331145223
6,76,21.078954552365442
6,77,22.100197308426424
6,78,22.018795720823555
6,79,24.32544456561531
6,80,28.408706669933554
6,81,17.39123092751165
6,82,22.13040382028171
6,83,20.50113748894435
6,84,21.07658411923745
6,85,21.580400994395248
6,86,20.72849131686568
6,87,22.543751550015028
6,88,21.558230798163656
6,89,21.599725511080408
6,90,22.923608926588535
6,91,24.738893880618974
6,92,19.835607251859567
6,93,22.663037908758437
6,94,22.318137451550545
6,95,22.890886711051593
6,96,25.804647311812325
6,97,20.830189998763565
6,98,22.399971232487236
6,99,23.197374611036263
6,100,23.536404331911672
6,101,23.701568487872596
6,102,24.936197507449037
6,103,22.216842920304384
6,104,20.131701401626863
6,105,19.049209121034067
6,106,23.216506541252578
6,107,28.910077821280133
6,108,23.356367225653756
6,109,23.73235138564375
6,110,26.826220974215033
7,1,41.39643866264412
7,2,43.51907599616935
7,3,40.49500677938872
7,4,38.94100703845233
7,5,34.48680890167577
7,6,37.29693673616234
7,7,33.788699356760596
7,8,31.912130304139634
7,9,31.57651606435181
7,10,35.09003337927079
7,11,39.59068301835167
7,12,37.131871431808385
7,13,35.029813518027645
7,14,26.906080086233676
7,15,26.73158461821562
7,16,26.180692079524036
7,17,28.66206866532009
7,18,30.390388074537043
7,19,27.916773537318605
7,20,23.146461502770453
7,21,26.50113598496398
7,22,23.765292856661283
7,23,29.153715458351172
7,24,30.69854914893802
7,25,25.361621529004253
7,26,29.63957156636439
7,27,29.191514350623915
7,28,26.03735656564109
7,29,24.71254261508116
7,30,26.476085014759793
7,31,26.009338823481787
7,32,30.997018139640375
7,33,25.98292441028887
7,34,29.006936879864607
7,35,27.274592195034174
7,36,29.3866213556012
7,37,26.435774038427578
7,38,35.62663847279413
7,39,32.8179358909231
7,40,28.473704488612096
7,41,27.154148399816357
7,42,26.89357875965549
7,43,28.43683604559619
7,44,27.564350971088338
7,45,32.82276462556301
7,46,29.231677868710577
7,47,29.48496027644189
7,48,29.169013581412926
7,49,32.05982181161118
7,50,28.979379831092682
7,51,31.13731169638172
7,52,36.14521749168741
