,description,mid,type,Binary,Keyword,Topic Title,MID,Type
0,Expense,/m/01n9ps,Topic,1.0,R&D expenditure,Expense,/m/01n9ps,Topic
1,Expense,/m/01n9ps,Topic,1.0,R&D tax credit,Expense,/m/01n9ps,Topic
2,Expense,/m/01n9ps,Topic,1.0,R&D tax incentives,Expense,/m/01n9ps,Topic
3,Expense,/m/01n9ps,Topic,1.0,accounting for R&D,Expense,/m/01n9ps,Topic
17,Research and development,/m/01lr_q,Topic,1.0,R&D expenditure,Research and development,/m/01lr_q,Topic
18,Research and development,/m/01lr_q,Topic,1.0,R&D loans,Research and development,/m/01lr_q,Topic
19,Research and development,/m/01lr_q,Topic,1.0,R&D financing,Research and development,/m/01lr_q,Topic
20,Research and development,/m/01lr_q,Topic,1.0,research funding,Research and development,/m/01lr_q,Topic
21,Research and development,/m/01lr_q,Topic,1.0,R&D jobs,Research and development,/m/01lr_q,Topic
22,Research and development,/m/01lr_q,Topic,1.0,R&D collaboration tools,Research and development,/m/01lr_q,Topic
23,Research and development,/m/01lr_q,Topic,1.0,R&D tax credit,Research and development,/m/01lr_q,Topic
24,Research and development,/m/01lr_q,Topic,1.0,R&D tax incentives,Research and development,/m/01lr_q,Topic
25,Research and development,/m/01lr_q,Topic,1.0,tax advice for R&D,Research and development,/m/01lr_q,Topic
26,Research and development,/m/01lr_q,Topic,1.0,accounting for R&D,Research and development,/m/01lr_q,Topic
28,Research and development,/m/01lr_q,Topic,1.0,product development,Research and development,/m/01lr_q,Topic
30,Research and development,/m/01lr_q,Topic,1.0,research grant,Research and development,/m/01lr_q,Topic
43,Research and development,/m/01lr_q,Topic,1.0,innovation strategy,Research and development,/m/01lr_q,Topic
44,Research and development,/m/01lr_q,Topic,1.0,innovation management,Research and development,/m/01lr_q,Topic
162,Capital expenditure,/m/04xxl8,Topic,1.0,R&D expenditure,Capital expenditure,/m/04xxl8,Topic
165,Business,/g/121jnq1m,Topic,1.0,R&D expenditure,Business,/g/121jnq1m,Topic
166,Business,/g/121jnq1m,Topic,1.0,product development,Business,/g/121jnq1m,Topic
167,Business,/g/121jnq1m,Topic,1.0,startup funding,Business,/g/121jnq1m,Topic
168,Business,/g/121jnq1m,Topic,1.0,VC investment,Business,/g/121jnq1m,Topic
169,Business,/g/121jnq1m,Topic,1.0,R&D financing,Business,/g/121jnq1m,Topic
170,Business,/g/121jnq1m,Topic,1.0,collaboration with industry,Business,/g/121jnq1m,Topic
171,Business,/g/121jnq1m,Topic,1.0,government grants,Business,/g/121jnq1m,Topic
172,Business,/g/121jnq1m,Topic,1.0,R&D tax credit,Business,/g/121jnq1m,Topic
173,Business,/g/121jnq1m,Topic,1.0,R&D tax incentives,Business,/g/121jnq1m,Topic
174,Business,/g/121jnq1m,Topic,1.0,innovation strategy,Business,/g/121jnq1m,Topic
175,Business,/g/121jnq1m,Topic,1.0,innovation management,Business,/g/121jnq1m,Topic
176,Business,/g/121jnq1m,Topic,1.0,startup incubation,Business,/g/121jnq1m,Topic
177,Business,/g/121jnq1m,Topic,1.0,technology park,Business,/g/121jnq1m,Topic
178,Business,/g/121jnq1m,Topic,1.0,patent registration,Business,/g/121jnq1m,Topic
179,Business,/g/121jnq1m,Topic,1.0,accounting for R&D,Business,/g/121jnq1m,Topic
187,Business,/g/121jnq1m,Topic,1.0,patent attorney,Business,/g/121jnq1m,Topic
215,Business,/g/121jnq1m,Topic,1.0,R&D jobs,Business,/g/121jnq1m,Topic
232,Business,/g/121jnq1m,Topic,1.0,R&D loans,Business,/g/121jnq1m,Topic
242,Cost,/m/0168hv,Topic,1.0,R&D expenditure,Cost,/m/0168hv,Topic
243,Cost,/m/0168hv,Topic,1.0,product development,Cost,/m/0168hv,Topic
244,Cost,/m/0168hv,Topic,1.0,R&D loans,Cost,/m/0168hv,Topic
245,Cost,/m/0168hv,Topic,1.0,R&D financing,Cost,/m/0168hv,Topic
246,Cost,/m/0168hv,Topic,1.0,collaboration with industry,Cost,/m/0168hv,Topic
247,Cost,/m/0168hv,Topic,1.0,innovation strategy,Cost,/m/0168hv,Topic
248,Cost,/m/0168hv,Topic,1.0,patent registration,Cost,/m/0168hv,Topic
249,Cost,/m/0168hv,Topic,1.0,accounting for R&D,Cost,/m/0168hv,Topic
251,Cost,/m/0168hv,Topic,1.0,government grants,Cost,/m/0168hv,Topic
260,Cost,/m/0168hv,Topic,1.0,R&D tax incentives,Cost,/m/0168hv,Topic
372,Tax,/m/07g82,Topic,1.0,R&D expenditure,Tax,/m/07g82,Topic
373,Tax,/m/07g82,Topic,1.0,R&D loans,Tax,/m/07g82,Topic
374,Tax,/m/07g82,Topic,1.0,R&D financing,Tax,/m/07g82,Topic
375,Tax,/m/07g82,Topic,1.0,R&D tax credit,Tax,/m/07g82,Topic
376,Tax,/m/07g82,Topic,1.0,R&D tax incentives,Tax,/m/07g82,Topic
377,Tax,/m/07g82,Topic,1.0,tax advice for R&D,Tax,/m/07g82,Topic
378,Tax,/m/07g82,Topic,1.0,accounting for R&D,Tax,/m/07g82,Topic
381,Tax,/m/07g82,Topic,1.0,government grants,Tax,/m/07g82,Topic
400,Tax,/m/07g82,Topic,1.0,R&D jobs,Tax,/m/07g82,Topic
405,Financial capital,/m/0cf7f,Topic,1.0,R&D expenditure,Financial capital,/m/0cf7f,Topic
406,Financial capital,/m/0cf7f,Topic,1.0,VC investment,Financial capital,/m/0cf7f,Topic
408,Investment,/m/0g_fl,Topic,1.0,R&D expenditure,Investment,/m/0g_fl,Topic
409,Investment,/m/0g_fl,Topic,1.0,startup funding,Investment,/m/0g_fl,Topic
410,Investment,/m/0g_fl,Topic,1.0,VC investment,Investment,/m/0g_fl,Topic
411,Investment,/m/0g_fl,Topic,1.0,R&D loans,Investment,/m/0g_fl,Topic
412,Investment,/m/0g_fl,Topic,1.0,R&D financing,Investment,/m/0g_fl,Topic
413,Investment,/m/0g_fl,Topic,1.0,R&D tax incentives,Investment,/m/0g_fl,Topic
414,Investment,/m/0g_fl,Topic,1.0,startup incubation,Investment,/m/0g_fl,Topic
431,Investment,/m/0g_fl,Topic,1.0,collaboration with industry,Investment,/m/0g_fl,Topic
432,Investment,/m/0g_fl,Topic,1.0,R&D tax credit,Investment,/m/0g_fl,Topic
440,Gross domestic product,/m/039mk,Topic,1.0,R&D expenditure,Gross domestic product,/m/039mk,Topic
448,Credit,/m/05p8s2,Topic,1.0,R&D expenditure,Credit,/m/05p8s2,Topic
449,Credit,/m/05p8s2,Topic,1.0,R&D loans,Credit,/m/05p8s2,Topic
450,Credit,/m/05p8s2,Topic,1.0,R&D tax credit,Credit,/m/05p8s2,Topic
451,Credit,/m/05p8s2,Topic,1.0,R&D tax incentives,Credit,/m/05p8s2,Topic
452,Credit,/m/05p8s2,Topic,1.0,accounting for R&D,Credit,/m/05p8s2,Topic
459,Credit,/m/05p8s2,Topic,1.0,R&D financing,Credit,/m/05p8s2,Topic
469,Government spending,/m/04g_71,Topic,1.0,R&D expenditure,Government spending,/m/04g_71,Topic
471,Pharmaceutical industry,/m/02q3wl,Topic,1.0,R&D expenditure,Pharmaceutical industry,/m/02q3wl,Topic
472,Pharmaceutical industry,/m/02q3wl,Topic,1.0,R&D jobs,Pharmaceutical industry,/m/02q3wl,Topic
482,Technology,/m/07c1v,Topic,1.0,R&D expenditure,Technology,/m/07c1v,Topic
483,Technology,/m/07c1v,Topic,1.0,product development,Technology,/m/07c1v,Topic
484,Technology,/m/07c1v,Topic,1.0,startup funding,Technology,/m/07c1v,Topic
485,Technology,/m/07c1v,Topic,1.0,VC investment,Technology,/m/07c1v,Topic
486,Technology,/m/07c1v,Topic,1.0,collaboration with industry,Technology,/m/07c1v,Topic
487,Technology,/m/07c1v,Topic,1.0,R&D jobs,Technology,/m/07c1v,Topic
488,Technology,/m/07c1v,Topic,1.0,R&D tax incentives,Technology,/m/07c1v,Topic
489,Technology,/m/07c1v,Topic,1.0,innovation strategy,Technology,/m/07c1v,Topic
490,Technology,/m/07c1v,Topic,1.0,innovation management,Technology,/m/07c1v,Topic
491,Technology,/m/07c1v,Topic,1.0,startup incubation,Technology,/m/07c1v,Topic
492,Technology,/m/07c1v,Topic,1.0,technology park,Technology,/m/07c1v,Topic
495,Technology,/m/07c1v,Topic,1.0,research grant,Technology,/m/07c1v,Topic
496,Technology,/m/07c1v,Topic,1.0,research funding,Technology,/m/07c1v,Topic
527,Technology,/m/07c1v,Topic,1.0,R&D financing,Technology,/m/07c1v,Topic
581,Economy,/m/0gfps3,Topic,1.0,R&D expenditure,Economy,/m/0gfps3,Topic
583,Pharmaceutical drug,/m/018l35,Topic,1.0,,,,
591,Organisation for Economic Co-operation and Development,/m/018cqq,Topic,1.0,R&D tax incentives,Organisation for Economic Co-operation and Development,/m/018cqq,Topic
592,Organisation for Economic Co-operation and Development,/m/018cqq,Topic,1.0,R&D expenditure,Organisation for Economic Co-operation and Development,/m/018cqq,Topic
610,Innovation,/m/0vh9p,Topic,1.0,R&D expenditure,Innovation,/m/0vh9p,Topic
611,Innovation,/m/0vh9p,Topic,1.0,innovation strategy,Innovation,/m/0vh9p,Topic
612,Innovation,/m/0vh9p,Topic,1.0,innovation management,Innovation,/m/0vh9p,Topic
613,Innovation,/m/0vh9p,Topic,1.0,startup incubation,Innovation,/m/0vh9p,Topic
614,Innovation,/m/0vh9p,Topic,1.0,product development,Innovation,/m/0vh9p,Topic
615,Innovation,/m/0vh9p,Topic,1.0,R&D financing,Innovation,/m/0vh9p,Topic
622,Innovation,/m/0vh9p,Topic,1.0,research funding,Innovation,/m/0vh9p,Topic
628,Innovation,/m/0vh9p,Topic,1.0,R&D tax credit,Innovation,/m/0vh9p,Topic
631,Innovation,/m/0vh9p,Topic,1.0,technology park,Innovation,/m/0vh9p,Topic
638,Innovation,/m/0vh9p,Topic,1.0,R&D tax incentives,Innovation,/m/0vh9p,Topic
642,Income,/m/03wj0,Topic,1.0,R&D tax credit,Income,/m/03wj0,Topic
643,Income,/m/03wj0,Topic,1.0,accounting for R&D,Income,/m/03wj0,Topic
644,Income,/m/03wj0,Topic,1.0,government grants,Income,/m/03wj0,Topic
680,Product development,/m/01fnjy,Topic,1.0,R&D expenditure,New product development,/m/01fnjy,Topic
681,Product development,/m/01fnjy,Topic,1.0,product development,New product development,/m/01fnjy,Topic
682,Product development,/m/01fnjy,Topic,1.0,R&D jobs,New product development,/m/01fnjy,Topic
683,Product development,/m/01fnjy,Topic,1.0,accounting for R&D,New product development,/m/01fnjy,Topic
823,Salary,/m/02w88k,Topic,1.0,product development,Salary,/m/02w88k,Topic
824,Salary,/m/02w88k,Topic,1.0,R&D jobs,Salary,/m/02w88k,Topic
825,Salary,/m/02w88k,Topic,1.0,patent attorney,Salary,/m/02w88k,Topic
829,Salary,/m/02w88k,Topic,1.0,VC investment,Salary,/m/02w88k,Topic
836,Salary,/m/02w88k,Topic,1.0,startup funding,Salary,/m/02w88k,Topic
1004,Product design,/m/03y18t,Topic,1.0,product development,Product design,/m/03y18t,Topic
1009,Product Management,/m/01jsnw,Topic,1.0,product development,Product Management,/m/01jsnw,Topic
1014,Manufacturing,/m/09t4t,Topic,1.0,product development,Manufacturing,/m/09t4t,Topic
1015,Manufacturing,/m/09t4t,Topic,1.0,R&D tax incentives,Manufacturing,/m/09t4t,Topic
1017,Manufacturing,/m/09t4t,Topic,1.0,patent registration,Manufacturing,/m/09t4t,Topic
1067,Startup company,/m/0h01f,Topic,1.0,startup funding,Startup company,/m/0h01f,Topic
1068,Startup company,/m/0h01f,Topic,1.0,VC investment,Startup company,/m/0h01f,Topic
1069,Startup company,/m/0h01f,Topic,1.0,R&D tax credit,Startup company,/m/0h01f,Topic
1070,Startup company,/m/0h01f,Topic,1.0,startup incubation,Startup company,/m/0h01f,Topic
1078,Startup company,/m/0h01f,Topic,1.0,government grants,Startup company,/m/0h01f,Topic
1095,Venture capital,/m/01m2bt,Topic,1.0,startup funding,Venture capital,/m/01m2bt,Topic
1096,Venture capital,/m/01m2bt,Topic,1.0,VC investment,Venture capital,/m/01m2bt,Topic
1097,Venture capital,/m/01m2bt,Topic,1.0,startup incubation,Venture capital,/m/01m2bt,Topic
1111,Loan,/m/01dnzs,Topic,1.0,startup funding,Loan,/m/01dnzs,Topic
1112,Loan,/m/01dnzs,Topic,1.0,R&D loans,Loan,/m/01dnzs,Topic
1113,Loan,/m/01dnzs,Topic,1.0,government grants,Loan,/m/01dnzs,Topic
1120,Loan,/m/01dnzs,Topic,1.0,R&D financing,Loan,/m/01dnzs,Topic
1184,Investor,/m/025sppp,Topic,1.0,startup funding,Investor,/m/025sppp,Topic
1185,Investor,/m/025sppp,Topic,1.0,VC investment,Investor,/m/025sppp,Topic
1235,Angel investor,/m/03m3ym9,Topic,1.0,startup funding,Angel investor,/m/03m3ym9,Topic
1236,Angel investor,/m/03m3ym9,Topic,1.0,VC investment,Angel investor,/m/03m3ym9,Topic
1243,Business loan,/g/11bc8lgh_8,Topic,1.0,startup funding,Business loan,/g/11bc8lgh_8,Topic
1245,Business loan,/g/11bc8lgh_8,Topic,1.0,R&D loans,Business loan,/g/11bc8lgh_8,Topic
1267,Investment fund,/m/08nwn8,Topic,1.0,VC investment,Investment fund,/m/08nwn8,Topic
1269,Investment fund,/m/08nwn8,Topic,1.0,research funding,Investment fund,/m/08nwn8,Topic
1275,Investment fund,/m/08nwn8,Topic,1.0,startup funding,Investment fund,/m/08nwn8,Topic
1302,Return on investment,/m/0h3p28z,Topic,1.0,,,,
1305,Tax credit,/m/01rqh3,Topic,1.0,R&D expenditure,Tax credit,/m/01rqh3,Topic
1306,Tax credit,/m/01rqh3,Topic,1.0,R&D loans,Tax credit,/m/01rqh3,Topic
1307,Tax credit,/m/01rqh3,Topic,1.0,R&D tax credit,Tax credit,/m/01rqh3,Topic
1308,Tax credit,/m/01rqh3,Topic,1.0,R&D tax incentives,Tax credit,/m/01rqh3,Topic
1309,Tax credit,/m/01rqh3,Topic,1.0,accounting for R&D,Tax credit,/m/01rqh3,Topic
1325,Research & Experimentation Tax Credit,/m/07s4vgp,Topic,1.0,R&D tax credit,Research & Experimentation Tax Credit,/m/07s4vgp,Topic
1326,Research & Experimentation Tax Credit,/m/07s4vgp,Topic,1.0,R&D tax incentives,Research & Experimentation Tax Credit,/m/07s4vgp,Topic
1333,Research & Experimentation Tax Credit,/m/07s4vgp,Topic,1.0,accounting for R&D,Research & Experimentation Tax Credit,/m/07s4vgp,Topic
1340,Stock,/m/077mq,Topic,1.0,R&D financing,Stock,/m/077mq,Topic
1341,Stock,/m/077mq,Topic,1.0,startup funding,Stock,/m/077mq,Topic
1345,Small Business Innovation Research,/m/066ylq,Topic,1.0,,,,
1387,Budget,/g/120jxn0b,Topic,1.0,,,,
1438,Research proposal,/g/11bzx4chkk,Topic,1.0,research grant,Research proposal,/g/11bzx4chkk,Topic
1440,Research proposal,/g/11bzx4chkk,Topic,1.0,research funding,Research proposal,/g/11bzx4chkk,Topic
1488,Funding of science,/m/04vp_m,Topic,1.0,research grant,Funding of science,/m/04vp_m,Topic
1489,Funding of science,/m/04vp_m,Topic,1.0,research funding,Funding of science,/m/04vp_m,Topic
1494,Funding of science,/m/04vp_m,Topic,1.0,government grants,Funding of science,/m/04vp_m,Topic
1512,Education,/m/02jfc,Topic,1.0,research grant,Education,/m/02jfc,Topic
1513,Education,/m/02jfc,Topic,1.0,research funding,Education,/m/02jfc,Topic
1514,Education,/m/02jfc,Topic,1.0,government grants,Education,/m/02jfc,Topic
1521,Education,/m/02jfc,Topic,1.0,patent attorney,Education,/m/02jfc,Topic
1522,Education,/m/02jfc,Topic,1.0,R&D expenditure,Education,/m/02jfc,Topic
1527,Medicine,/m/04sh3,Topic,1.0,research grant,Medicine,/m/04sh3,Topic
1528,Medicine,/m/04sh3,Topic,1.0,research funding,Medicine,/m/04sh3,Topic
1529,Medicine,/m/04sh3,Topic,1.0,R&D jobs,Medicine,/m/04sh3,Topic
1533,Medicine,/m/04sh3,Topic,1.0,product development,Medicine,/m/04sh3,Topic
1535,Medicine,/m/04sh3,Topic,1.0,technology park,Medicine,/m/04sh3,Topic
1558,Grant writing,/m/04643_0,Topic,1.0,research grant,Grant writing,/m/04643_0,Topic
1575,Undergraduate research,/m/0y6d0y0,Topic,1.0,research grant,Undergraduate research,/m/0y6d0y0,Topic
1577,Scholarship,/m/018m77,Topic,1.0,research grant,Scholarship,/m/018m77,Topic
1580,Scholarship,/m/018m77,Topic,1.0,research funding,Scholarship,/m/018m77,Topic
1583,Scholarship,/m/018m77,Topic,1.0,government grants,Scholarship,/m/018m77,Topic
1596,Collaboration,/m/01s560,Topic,1.0,collaboration with industry,Collaboration,/m/01s560,Topic
1597,Collaboration,/m/01s560,Topic,1.0,R&D collaboration tools,Collaboration,/m/01s560,Topic
1598,Collaboration,/m/01s560,Topic,1.0,research grant,Collaboration,/m/01s560,Topic
1618,Data,/m/026sq,Topic,1.0,research grant,Data,/m/026sq,Topic
1619,Data,/m/026sq,Topic,1.0,collaboration with industry,Data,/m/026sq,Topic
1620,Data,/m/026sq,Topic,1.0,research funding,Data,/m/026sq,Topic
1621,Data,/m/026sq,Topic,1.0,R&D expenditure,Data,/m/026sq,Topic
1645,Computers and information technology,/m/03ytc,Topic,1.0,technology park,Computers and information technology,/m/03ytc,Professional field
1646,Computers and information technology,/m/03ytc,Topic,1.0,innovation strategy,Computers and information technology,/m/03ytc,Professional field
1653,Stem cell,/m/06xn9,Topic,1.0,research funding,Stem cell,/m/06xn9,Topic
1654,Health,/m/0kt51,Topic,1.0,research funding,Health,/m/0kt51,Topic
1655,Health,/m/0kt51,Topic,1.0,research grant,Health,/m/0kt51,Topic
1661,Health,/m/0kt51,Topic,1.0,innovation strategy,Health,/m/0kt51,Topic
1662,Health,/m/0kt51,Topic,1.0,startup funding,Health,/m/0kt51,Topic
1666,Cancer research,/m/04tll8,Topic,1.0,research funding,Cancer research,/m/04tll8,Topic
1670,Disease,/m/027x3,Topic,1.0,research funding,Disease,/m/027x3,Topic
1672,Medical research,/m/06ywtl,Topic,1.0,research funding,Medical research,/m/06ywtl,Topic
1698,Block grant,/m/024ggr,Topic,1.0,government grants,Block grant,/m/024ggr,Topic
1706,Job,/m/04115t2,Topic,1.0,R&D jobs,Job,/m/04115t2,Topic
1707,Job,/m/04115t2,Topic,1.0,patent attorney,Job,/m/04115t2,Topic
1710,Job,/m/04115t2,Topic,1.0,government grants,Job,/m/04115t2,Topic
1713,Job,/m/04115t2,Topic,1.0,product development,Job,/m/04115t2,Topic
1716,Job,/m/04115t2,Topic,1.0,VC investment,Job,/m/04115t2,Topic
1723,Job,/m/04115t2,Topic,1.0,innovation strategy,Job,/m/04115t2,Topic
1727,Career,/m/03ml62y,Topic,1.0,R&D jobs,Career,/m/03ml62y,Topic
1732,Career,/m/03ml62y,Topic,1.0,patent attorney,Career,/m/03ml62y,Topic
1735,Career,/m/03ml62y,Topic,1.0,research grant,Career,/m/03ml62y,Topic
1738,R&D management,/m/0czcqjd,Topic,1.0,R&D jobs,R&D management,/m/0czcqjd,Topic
1745,Laboratory,/m/017clw,Topic,1.0,R&D jobs,Laboratory,/m/017clw,Topic
1746,Laboratory,/m/017clw,Topic,1.0,research funding,Laboratory,/m/017clw,Topic
1754,Wage,/m/01_942,Topic,1.0,,,,
1770,Tax deduction,/m/01rqfh,Topic,1.0,R&D tax credit,Tax deduction,/m/01rqfh,Topic
1771,Tax deduction,/m/01rqfh,Topic,1.0,R&D tax incentives,Tax deduction,/m/01rqfh,Topic
1772,Tax report,/g/121vr3lx,Topic,1.0,R&D tax credit,Tax return,/g/121vr3lx,Topic
1773,Research and Development Tax Credit,/m/0vpvyg4,Topic,1.0,R&D tax credit,Research and Development Tax Credit,/m/0vpvyg4,Topic
1774,Research and Development Tax Credit,/m/0vpvyg4,Topic,1.0,R&D tax incentives,Research and Development Tax Credit,/m/0vpvyg4,Topic
1778,Research and Development Tax Credit,/m/0vpvyg4,Topic,1.0,R&D expenditure,Research and Development Tax Credit,/m/0vpvyg4,Topic
1779,Research and Development Tax Credit,/m/0vpvyg4,Topic,1.0,R&D loans,Research and Development Tax Credit,/m/0vpvyg4,Topic
1782,Research and Development Tax Credit,/m/0vpvyg4,Topic,1.0,accounting for R&D,Research and Development Tax Credit,/m/0vpvyg4,Topic
1783,Corporate tax,/m/03p7hr,Topic,1.0,R&D tax credit,Corporate tax,/m/03p7hr,Topic
1784,Corporate tax,/m/03p7hr,Topic,1.0,R&D tax incentives,Corporate tax,/m/03p7hr,Topic
1787,Corporate tax,/m/03p7hr,Topic,1.0,accounting for R&D,Corporate tax,/m/03p7hr,Topic
1845,Innovation management,/m/051yrpj,Topic,1.0,innovation management,Innovation management,/m/051yrpj,Topic
1846,Innovation management,/m/051yrpj,Topic,1.0,innovation strategy,Innovation management,/m/051yrpj,Topic
1864,Academic journal,/m/01vz_k,Topic,1.0,innovation management,Academic journal,/m/01vz_k,Topic
1868,Academic journal,/m/01vz_k,Topic,1.0,technology park,Academic journal,/m/01vz_k,Topic
1872,Entrepreneurship,/m/02nwq,Topic,1.0,innovation management,Entrepreneurship,/m/02nwq,Topic
1897,Startup accelerator,/m/0gmc207,Topic,1.0,startup incubation,Startup accelerator,/m/0gmc207,Topic
1919,Science park,/m/02t1bm,Topic,1.0,technology park,Science park,/m/02t1bm,Topic
1945,Patent,/m/05sq5,Topic,1.0,patent registration,Patent,/m/05sq5,Topic
1946,Patent,/m/05sq5,Topic,1.0,patent attorney,Patent,/m/05sq5,Topic
1949,Patent,/m/05sq5,Topic,1.0,R&D expenditure,Patent,/m/05sq5,Topic
1964,Trademark,/m/07d0f,Topic,1.0,patent registration,Trademark,/m/07d0f,Topic
1965,Trademark,/m/07d0f,Topic,1.0,patent attorney,Trademark,/m/07d0f,Topic
1980,Patent application,/m/0c7ztg,Topic,1.0,patent registration,Patent application,/m/0c7ztg,Topic
1981,Patent application,/m/0c7ztg,Topic,1.0,patent attorney,Patent application,/m/0c7ztg,Topic
2075,Law,/m/04gb7,Topic,1.0,patent registration,Law,/m/04gb7,Topic
2076,Law,/m/04gb7,Topic,1.0,patent attorney,Law,/m/04gb7,Topic
2088,Patent office,/m/04kc_d,Topic,1.0,patent registration,Patent office,/m/04kc_d,Topic
2089,Patent office,/m/04kc_d,Topic,1.0,patent attorney,Patent office,/m/04kc_d,Topic
2103,Copyright registration,/m/09zjb6,Topic,1.0,patent registration,Copyright registration,/m/09zjb6,Topic
2113,Intellectual property,/m/03t0y,Topic,1.0,patent registration,Intellectual property,/m/03t0y,Topic
2114,Intellectual property,/m/03t0y,Topic,1.0,patent attorney,Intellectual property,/m/03t0y,Topic
2136,Invention,/m/0c2fj,Topic,1.0,patent registration,Invention,/m/0c2fj,Topic
2137,Invention,/m/0c2fj,Topic,1.0,patent attorney,Invention,/m/0c2fj,Topic
2152,patent law,/g/121rctyz,Topic,1.0,patent attorney,patent law,/g/121rctyz,Topic
2162,Law firm,/m/03mjyc,Topic,1.0,patent attorney,Law firm,/m/03mjyc,Topic
2170,Trademark attorney,/g/122c632c,Topic,1.0,patent attorney,Trademark attorney,/g/122c632c,Topic
2174,Patent infringement,/m/02wwyh,Topic,1.0,patent attorney,Patent infringement,/m/02wwyh,Topic
2181,Capitalization,/m/01fl8h,Topic,1.0,accounting for R&D,Capitalization,/m/01fl8h,Topic
2182,Capitalization,/m/01fl8h,Topic,1.0,R&D expenditure,Capitalization,/m/01fl8h,Topic
2230,Natural environment,/m/02py09,Topic,1.0,,,,
2240,Basic research,/m/03bx4kh,Topic,1.0,research grant,Basic research,/m/03bx4kh,Topic
2241,Basic research,/m/03bx4kh,Topic,1.0,research funding,Basic research,/m/03bx4kh,Topic
2255,College and university rankings,/m/029r0f,Topic,1.0,,,,
2288,Technological innovation,/g/121zpl2_,Topic,1.0,innovation strategy,Technological innovation,/g/121zpl2_,Topic
2290,Technological innovation,/g/121zpl2_,Topic,1.0,innovation management,Technological innovation,/g/121zpl2_,Topic
2292,Product innovation,/m/089kv1,Topic,1.0,innovation strategy,Product innovation,/m/089kv1,Topic
2293,Energy,/m/02mm_,Topic,1.0,R&D tax incentives,Energy,/m/02mm_,Topic
2294,Energy,/m/02mm_,Topic,1.0,research funding,Energy,/m/02mm_,Topic
2295,Energy,/m/02mm_,Topic,1.0,government grants,Energy,/m/02mm_,Topic
2301,Business model,/m/0hd4m,Topic,1.0,innovation strategy,Business model,/m/0hd4m,Topic
2342,High tech,/m/02lj5l,Topic,1.0,technology park,High tech,/m/02lj5l,Topic
2359,Agile software development,/m/02zhbn,Topic,1.0,product development,Agile software development,/m/02zhbn,Topic
2384,Grants-in-Aid for Scientific Research,/g/128dgck8x,Topic,1.0,research grant,Grants-in-Aid for Scientific Research,/g/128dgck8x,Topic
2385,Grants-in-Aid for Scientific Research,/g/128dgck8x,Topic,1.0,research funding,Grants-in-Aid for Scientific Research,/g/128dgck8x,Topic
2394,Subsidy,/m/012qhn,Topic,1.0,government grants,Subsidy,/m/012qhn,Topic
2395,Subsidy,/m/012qhn,Topic,1.0,research grant,Subsidy,/m/012qhn,Topic
2406,Sustainability,/m/0hkst,Topic,1.0,innovation strategy,Sustainability,/m/0hkst,Topic
2407,Sustainability,/m/0hkst,Topic,1.0,innovation management,Sustainability,/m/0hkst,Topic
2415,Open innovation,/m/08pl0z,Topic,1.0,innovation strategy,Open innovation,/m/08pl0z,Topic
2427,Industrial park,/m/02k7bf,Topic,1.0,technology park,Industrial park,/m/02k7bf,Topic
2431,Semiconductor,/m/08mh3kd,Topic,1.0,,,,
2464,Artificial intelligence,/m/0mkz,Topic,1.0,startup funding,Artificial intelligence,/m/0mkz,Field of study
2465,Artificial intelligence,/m/0mkz,Topic,1.0,VC investment,Artificial intelligence,/m/0mkz,Field of study
2494,International Financial Reporting Standards,/m/0lzs_,Topic,1.0,government grants,International Financial Reporting Standards,/m/0lzs_,Topic
2495,International Financial Reporting Standards,/m/0lzs_,Topic,1.0,accounting for R&D,International Financial Reporting Standards,/m/0lzs_,Topic
2500,Employment,/g/11gbfbpzht,Topic,1.0,,,,
