Month of Year ID,Month of Year,Industry ID,Industry,NSA Employees,Date,NSA Employees Growth
"2008-01","January, 2008","60541700","Scientific Research and Development Services",355100,"2008-01-01",2.7785817655571634
"2008-02","February, 2008","60541700","Scientific Research and Development Services",356300,"2008-02-01",2.591419522027066
"2008-03","March, 2008","60541700","Scientific Research and Development Services",358100,"2008-03-01",3.3775981524249423
"2008-04","April, 2008","60541700","Scientific Research and Development Services",359600,"2008-04-01",3.5416066801036568
"2008-05","May, 2008","60541700","Scientific Research and Development Services",361200,"2008-05-01",3.347639484978541
"2008-06","June, 2008","60541700","Scientific Research and Development Services",365100,"2008-06-01",3.077357425183512
"2008-07","July, 2008","60541700","Scientific Research and Development Services",371100,"2008-07-01",4.564666103127641
"2008-08","August, 2008","60541700","Scientific Research and Development Services",366400,"2008-08-01",4.150085275724844
"2008-09","September, 2008","60541700","Scientific Research and Development Services",362800,"2008-09-01",4.463000287935502
"2008-10","October, 2008","60541700","Scientific Research and Development Services",362500,"2008-10-01",2.112676056338028
"2008-11","November, 2008","60541700","Scientific Research and Development Services",363000,"2008-11-01",1.79472798653954
"2008-12","December, 2008","60541700","Scientific Research and Development Services",363800,"2008-12-01",1.4500836586726158
"2009-01","January, 2009","60541700","Scientific Research and Development Services",360700,"2009-01-01",1.5770205575894116
"2009-02","February, 2009","60541700","Scientific Research and Development Services",360600,"2009-02-01",1.2068481616615212
"2009-03","March, 2009","60541700","Scientific Research and Development Services",359500,"2009-03-01",0.3909522479754258
"2009-04","April, 2009","60541700","Scientific Research and Development Services",357300,"2009-04-01",-0.6395995550611792
"2009-05","May, 2009","60541700","Scientific Research and Development Services",357300,"2009-05-01",-1.0797342192691028
"2009-06","June, 2009","60541700","Scientific Research and Development Services",360300,"2009-06-01",-1.314708299096138
"2009-07","July, 2009","60541700","Scientific Research and Development Services",363900,"2009-07-01",-1.9401778496362168
"2009-08","August, 2009","60541700","Scientific Research and Development Services",361200,"2009-08-01",-1.4192139737991267
"2009-09","September, 2009","60541700","Scientific Research and Development Services",356600,"2009-09-01",-1.7089305402425579
"2009-10","October, 2009","60541700","Scientific Research and Development Services",356900,"2009-10-01",-1.5448275862068965
"2009-11","November, 2009","60541700","Scientific Research and Development Services",357900,"2009-11-01",-1.4049586776859504
"2009-12","December, 2009","60541700","Scientific Research and Development Services",360200,"2009-12-01",-0.9895547003848268
"2010-01","January, 2010","60541700","Scientific Research and Development Services",355300,"2010-01-01",-1.49708899362351
"2010-02","February, 2010","60541700","Scientific Research and Development Services",356900,"2010-02-01",-1.0260676650027731
"2010-03","March, 2010","60541700","Scientific Research and Development Services",358000,"2010-03-01",-0.4172461752433936
"2010-04","April, 2010","60541700","Scientific Research and Development Services",360200,"2010-04-01",0.8116428771340609
"2010-05","May, 2010","60541700","Scientific Research and Development Services",360400,"2010-05-01",0.8676182479708928
"2010-06","June, 2010","60541700","Scientific Research and Development Services",365400,"2010-06-01",1.4154870940882598
"2010-07","July, 2010","60541700","Scientific Research and Development Services",367400,"2010-07-01",0.9618026930475405
"2010-08","August, 2010","60541700","Scientific Research and Development Services",365300,"2010-08-01",1.1351052048726467
"2010-09","September, 2010","60541700","Scientific Research and Development Services",360100,"2010-09-01",0.9814918676388109
"2010-10","October, 2010","60541700","Scientific Research and Development Services",362100,"2010-10-01",1.4569907537125246
"2010-11","November, 2010","60541700","Scientific Research and Development Services",363100,"2010-11-01",1.452919810002794
"2010-12","December, 2010","60541700","Scientific Research and Development Services",365500,"2010-12-01",1.4714047751249306
"2011-01","January, 2011","60541700","Scientific Research and Development Services",360700,"2011-01-01",1.5198423867154518
"2011-02","February, 2011","60541700","Scientific Research and Development Services",362500,"2011-02-01",1.5690669655365648
"2011-03","March, 2011","60541700","Scientific Research and Development Services",363200,"2011-03-01",1.452513966480447
"2011-04","April, 2011","60541700","Scientific Research and Development Services",365300,"2011-04-01",1.41588006662965
"2011-05","May, 2011","60541700","Scientific Research and Development Services",366700,"2011-05-01",1.7480577136514983
"2011-06","June, 2011","60541700","Scientific Research and Development Services",371900,"2011-06-01",1.7788724685276411
"2011-07","July, 2011","60541700","Scientific Research and Development Services",374400,"2011-07-01",1.905280348394121
"2011-08","August, 2011","60541700","Scientific Research and Development Services",372400,"2011-08-01",1.9436079934300576
"2011-09","September, 2011","60541700","Scientific Research and Development Services",368000,"2011-09-01",2.1938350458206055
"2011-10","October, 2011","60541700","Scientific Research and Development Services",368500,"2011-10-01",1.7674675504004418
"2011-11","November, 2011","60541700","Scientific Research and Development Services",369600,"2011-11-01",1.7901404571743322
"2011-12","December, 2011","60541700","Scientific Research and Development Services",370400,"2011-12-01",1.3406292749658002
"2012-01","January, 2012","60541700","Scientific Research and Development Services",366700,"2012-01-01",1.6634322151372332
"2012-02","February, 2012","60541700","Scientific Research and Development Services",368800,"2012-02-01",1.7379310344827585
"2012-03","March, 2012","60541700","Scientific Research and Development Services",369300,"2012-03-01",1.6795154185022025
"2012-04","April, 2012","60541700","Scientific Research and Development Services",370400,"2012-04-01",1.3961127840131398
"2012-05","May, 2012","60541700","Scientific Research and Development Services",371700,"2012-05-01",1.3635124079629124
"2012-06","June, 2012","60541700","Scientific Research and Development Services",376300,"2012-06-01",1.1831137402527563
"2012-07","July, 2012","60541700","Scientific Research and Development Services",379800,"2012-07-01",1.4423076923076923
"2012-08","August, 2012","60541700","Scientific Research and Development Services",377200,"2012-08-01",1.288936627282492
"2012-09","September, 2012","60541700","Scientific Research and Development Services",372400,"2012-09-01",1.1956521739130435
"2012-10","October, 2012","60541700","Scientific Research and Development Services",372700,"2012-10-01",1.1397557666214384
"2012-11","November, 2012","60541700","Scientific Research and Development Services",373000,"2012-11-01",0.91991341991342
"2012-12","December, 2012","60541700","Scientific Research and Development Services",373900,"2012-12-01",0.9449244060475162
"2013-01","January, 2013","60541700","Scientific Research and Development Services",370900,"2013-01-01",1.1453504226888465
"2013-02","February, 2013","60541700","Scientific Research and Development Services",372400,"2013-02-01",0.9761388286334056
"2013-03","March, 2013","60541700","Scientific Research and Development Services",373500,"2013-03-01",1.1372867587327375
"2013-04","April, 2013","60541700","Scientific Research and Development Services",370200,"2013-04-01",-0.05399568034557236
"2013-05","May, 2013","60541700","Scientific Research and Development Services",371800,"2013-05-01",0.026903416733925208
"2013-06","June, 2013","60541700","Scientific Research and Development Services",375200,"2013-06-01",-0.29231995748073347
"2013-07","July, 2013","60541700","Scientific Research and Development Services",375700,"2013-07-01",-1.0795155344918377
"2013-08","August, 2013","60541700","Scientific Research and Development Services",374800,"2013-08-01",-0.6362672322375398
"2013-09","September, 2013","60541700","Scientific Research and Development Services",370000,"2013-09-01",-0.644468313641246
"2013-10","October, 2013","60541700","Scientific Research and Development Services",371600,"2013-10-01",-0.29514354708881135
"2013-11","November, 2013","60541700","Scientific Research and Development Services",372500,"2013-11-01",-0.13404825737265416
"2013-12","December, 2013","60541700","Scientific Research and Development Services",373000,"2013-12-01",-0.2407060711420166
"2014-01","January, 2014","60541700","Scientific Research and Development Services",368400,"2014-01-01",-0.6740361283364789
"2014-02","February, 2014","60541700","Scientific Research and Development Services",369700,"2014-02-01",-0.7250268528464017
"2014-03","March, 2014","60541700","Scientific Research and Development Services",370700,"2014-03-01",-0.749665327978581
"2014-04","April, 2014","60541700","Scientific Research and Development Services",372800,"2014-04-01",0.7023230686115614
"2014-05","May, 2014","60541700","Scientific Research and Development Services",374200,"2014-05-01",0.6455083378160301
"2014-06","June, 2014","60541700","Scientific Research and Development Services",378900,"2014-06-01",0.9861407249466951
"2014-07","July, 2014","60541700","Scientific Research and Development Services",382800,"2014-07-01",1.8898056960340697
"2014-08","August, 2014","60541700","Scientific Research and Development Services",380800,"2014-08-01",1.6008537886872998
"2014-09","September, 2014","60541700","Scientific Research and Development Services",377400,"2014-09-01",2
"2014-10","October, 2014","60541700","Scientific Research and Development Services",376400,"2014-10-01",1.2917115177610334
"2014-11","November, 2014","60541700","Scientific Research and Development Services",377400,"2014-11-01",1.3154362416107381
"2014-12","December, 2014","60541700","Scientific Research and Development Services",379200,"2014-12-01",1.6621983914209115
"2015-01","January, 2015","60541700","Scientific Research and Development Services",379700,"2015-01-01",3.0673181324647123
"2015-02","February, 2015","60541700","Scientific Research and Development Services",380500,"2015-02-01",2.9212875304300785
"2015-03","March, 2015","60541700","Scientific Research and Development Services",382300,"2015-03-01",3.1292149986512
"2015-04","April, 2015","60541700","Scientific Research and Development Services",384700,"2015-04-01",3.1920600858369097
"2015-05","May, 2015","60541700","Scientific Research and Development Services",385600,"2015-05-01",3.046499198289685
"2015-06","June, 2015","60541700","Scientific Research and Development Services",389700,"2015-06-01",2.8503562945368173
"2015-07","July, 2015","60541700","Scientific Research and Development Services",391600,"2015-07-01",2.2988505747126435
"2015-08","August, 2015","60541700","Scientific Research and Development Services",390300,"2015-08-01",2.494747899159664
"2015-09","September, 2015","60541700","Scientific Research and Development Services",386100,"2015-09-01",2.305246422893482
"2015-10","October, 2015","60541700","Scientific Research and Development Services",385400,"2015-10-01",2.3910733262486716
"2015-11","November, 2015","60541700","Scientific Research and Development Services",385400,"2015-11-01",2.1197668256491786
"2015-12","December, 2015","60541700","Scientific Research and Development Services",385400,"2015-12-01",1.6350210970464136
"2016-01","January, 2016","60541700","Scientific Research and Development Services",380600,"2016-01-01",0.23702923360547798
"2016-02","February, 2016","60541700","Scientific Research and Development Services",381200,"2016-02-01",0.18396846254927726
"2016-03","March, 2016","60541700","Scientific Research and Development Services",381600,"2016-03-01",-0.18310227569971227
"2016-04","April, 2016","60541700","Scientific Research and Development Services",383000,"2016-04-01",-0.4419027813880946
"2016-05","May, 2016","60541700","Scientific Research and Development Services",383000,"2016-05-01",-0.6742738589211619
"2016-06","June, 2016","60541700","Scientific Research and Development Services",387900,"2016-06-01",-0.4618937644341801
"2016-07","July, 2016","60541700","Scientific Research and Development Services",391300,"2016-07-01",-0.07660878447395301
"2016-08","August, 2016","60541700","Scientific Research and Development Services",390000,"2016-08-01",-0.07686395080707148
"2016-09","September, 2016","60541700","Scientific Research and Development Services",382700,"2016-09-01",-0.8806008806008805
"2016-10","October, 2016","60541700","Scientific Research and Development Services",382800,"2016-10-01",-0.6746237675142709
"2016-11","November, 2016","60541700","Scientific Research and Development Services",383400,"2016-11-01",-0.5189413596263622
"2016-12","December, 2016","60541700","Scientific Research and Development Services",384300,"2016-12-01",-0.2854177477944992
"2017-01","January, 2017","60541700","Scientific Research and Development Services",380600,"2017-01-01",0
"2017-02","February, 2017","60541700","Scientific Research and Development Services",381200,"2017-02-01",0
"2017-03","March, 2017","60541700","Scientific Research and Development Services",382500,"2017-03-01",0.2358490566037736
"2017-04","April, 2017","60541700","Scientific Research and Development Services",382600,"2017-04-01",-0.10443864229765012
"2017-05","May, 2017","60541700","Scientific Research and Development Services",385100,"2017-05-01",0.5483028720626633
"2017-06","June, 2017","60541700","Scientific Research and Development Services",393200,"2017-06-01",1.3663315287445217
"2017-07","July, 2017","60541700","Scientific Research and Development Services",396400,"2017-07-01",1.303347814975722
"2017-08","August, 2017","60541700","Scientific Research and Development Services",396600,"2017-08-01",1.6923076923076923
"2017-09","September, 2017","60541700","Scientific Research and Development Services",392400,"2017-09-01",2.5346224196498564
"2017-10","October, 2017","60541700","Scientific Research and Development Services",394600,"2017-10-01",3.082549634273772
"2017-11","November, 2017","60541700","Scientific Research and Development Services",397100,"2017-11-01",3.5732916014606153
"2017-12","December, 2017","60541700","Scientific Research and Development Services",400000,"2017-12-01",4.085349986989331
"2018-01","January, 2018","60541700","Scientific Research and Development Services",396900,"2018-01-01",4.2827115081450335
"2018-02","February, 2018","60541700","Scientific Research and Development Services",399600,"2018-02-01",4.826862539349422
"2018-03","March, 2018","60541700","Scientific Research and Development Services",402200,"2018-03-01",5.150326797385621
"2018-04","April, 2018","60541700","Scientific Research and Development Services",403200,"2018-04-01",5.38421327757449
"2018-05","May, 2018","60541700","Scientific Research and Development Services",405800,"2018-05-01",5.375227213710724
"2018-06","June, 2018","60541700","Scientific Research and Development Services",413300,"2018-06-01",5.111902339776195
"2018-07","July, 2018","60541700","Scientific Research and Development Services",418500,"2018-07-01",5.575176589303734
"2018-08","August, 2018","60541700","Scientific Research and Development Services",418600,"2018-08-01",5.547150781643974
"2018-09","September, 2018","60541700","Scientific Research and Development Services",413200,"2018-09-01",5.300713557594292
"2018-10","October, 2018","60541700","Scientific Research and Development Services",416600,"2018-10-01",5.575266092245312
"2018-11","November, 2018","60541700","Scientific Research and Development Services",419100,"2018-11-01",5.540166204986149
"2018-12","December, 2018","60541700","Scientific Research and Development Services",422700,"2018-12-01",5.675
"2019-01","January, 2019","60541700","Scientific Research and Development Services",423700,"2019-01-01",6.752330561854371
"2019-02","February, 2019","60541700","Scientific Research and Development Services",427400,"2019-02-01",6.956956956956957
"2019-03","March, 2019","60541700","Scientific Research and Development Services",430100,"2019-03-01",6.936847339632024
"2019-04","April, 2019","60541700","Scientific Research and Development Services",430800,"2019-04-01",6.845238095238096
"2019-05","May, 2019","60541700","Scientific Research and Development Services",434600,"2019-05-01",7.097092163627402
"2019-06","June, 2019","60541700","Scientific Research and Development Services",443900,"2019-06-01",7.403822888942657
"2019-07","July, 2019","60541700","Scientific Research and Development Services",449400,"2019-07-01",7.383512544802867
"2019-08","August, 2019","60541700","Scientific Research and Development Services",448100,"2019-08-01",7.047300525561395
"2019-09","September, 2019","60541700","Scientific Research and Development Services",442700,"2019-09-01",7.139399806389157
"2019-10","October, 2019","60541700","Scientific Research and Development Services",446300,"2019-10-01",7.129140662506001
"2019-11","November, 2019","60541700","Scientific Research and Development Services",450100,"2019-11-01",7.396802672393224
"2019-12","December, 2019","60541700","Scientific Research and Development Services",452900,"2019-12-01",7.144546960018926
"2020-01","January, 2020","60541700","Scientific Research and Development Services",450100,"2020-01-01",6.2308236960113295
"2020-02","February, 2020","60541700","Scientific Research and Development Services",454200,"2020-02-01",6.27047262517548
"2020-03","March, 2020","60541700","Scientific Research and Development Services",455600,"2020-03-01",5.928853754940711
"2020-04","April, 2020","60541700","Scientific Research and Development Services",449500,"2020-04-01",4.340761374187558
"2020-05","May, 2020","60541700","Scientific Research and Development Services",451500,"2020-05-01",3.888633225954901
"2020-06","June, 2020","60541700","Scientific Research and Development Services",457700,"2020-06-01",3.1088082901554404
"2020-07","July, 2020","60541700","Scientific Research and Development Services",462400,"2020-07-01",2.8927458834000888
"2020-08","August, 2020","60541700","Scientific Research and Development Services",463000,"2020-08-01",3.3251506360187455
"2020-09","September, 2020","60541700","Scientific Research and Development Services",459600,"2020-09-01",3.817483623221143
"2020-10","October, 2020","60541700","Scientific Research and Development Services",463300,"2020-10-01",3.809097019941743
"2020-11","November, 2020","60541700","Scientific Research and Development Services",465700,"2020-11-01",3.4658964674516777
"2020-12","December, 2020","60541700","Scientific Research and Development Services",468900,"2020-12-01",3.5327886950761758
"2021-01","January, 2021","60541700","Scientific Research and Development Services",470000,"2021-01-01",4.421239724505666
"2021-02","February, 2021","60541700","Scientific Research and Development Services",472700,"2021-02-01",4.073095552619991
"2021-03","March, 2021","60541700","Scientific Research and Development Services",476100,"2021-03-01",4.499561018437226
"2021-04","April, 2021","60541700","Scientific Research and Development Services",477300,"2021-04-01",6.184649610678532
"2021-05","May, 2021","60541700","Scientific Research and Development Services",480100,"2021-05-01",6.3344407530454045
"2021-06","June, 2021","60541700","Scientific Research and Development Services",487400,"2021-06-01",6.488966571990387
"2021-07","July, 2021","60541700","Scientific Research and Development Services",495200,"2021-07-01",7.093425605536333
"2021-08","August, 2021","60541700","Scientific Research and Development Services",496300,"2021-08-01",7.192224622030238
"2021-09","September, 2021","60541700","Scientific Research and Development Services",492100,"2021-09-01",7.0713664055700605
"2021-10","October, 2021","60541700","Scientific Research and Development Services",497900,"2021-10-01",7.468163177206994
"2021-11","November, 2021","60541700","Scientific Research and Development Services",502000,"2021-11-01",7.794717629375134
"2021-12","December, 2021","60541700","Scientific Research and Development Services",506900,"2021-12-01",8.104073363190446
"2022-01","January, 2022","60541700","Scientific Research and Development Services",504600,"2022-01-01",7.361702127659575
"2022-02","February, 2022","60541700","Scientific Research and Development Services",510200,"2022-02-01",7.933149989422467
"2022-03","March, 2022","60541700","Scientific Research and Development Services",513400,"2022-03-01",7.834488552825036
"2022-04","April, 2022","60541700","Scientific Research and Development Services",514700,"2022-04-01",7.835742719463649
"2022-05","May, 2022","60541700","Scientific Research and Development Services",517000,"2022-05-01",7.685898771089357
"2022-06","June, 2022","60541700","Scientific Research and Development Services",525000,"2022-06-01",7.714402954452196
"2022-07","July, 2022","60541700","Scientific Research and Development Services",533700,"2022-07-01",7.774636510500808
"2022-08","August, 2022","60541700","Scientific Research and Development Services",533900,"2022-08-01",7.576062865202498
"2022-09","September, 2022","60541700","Scientific Research and Development Services",526400,"2022-09-01",6.970128022759601
"2022-10","October, 2022","60541700","Scientific Research and Development Services",534000,"2022-10-01",7.25045189797148
"2022-11","November, 2022","60541700","Scientific Research and Development Services",533600,"2022-11-01",6.294820717131475
"2022-12","December, 2022","60541700","Scientific Research and Development Services",536800,"2022-12-01",5.898599329256263
"2023-01","January, 2023","60541700","Scientific Research and Development Services",529800,"2023-01-01",4.9940546967895365
"2023-02","February, 2023","60541700","Scientific Research and Development Services",533500,"2023-02-01",4.5668365346922775